id,champ,avant,apres,raison
albany-emperor,txt,"Albany a toujours été la marque des grandes américaines cossues, et l'Emperor en est l'archétype : long capot, custode épaisse, suspension molle. La Cadillac Eldorado dont il reprend l'allure était une voiture de patron vieillissante, devenue au fil des années la berline de seconde main par excellence, celle qu'on retrouve rouillée dans les quartiers populaires. Les captures diffusées par Rockstar la montrent garée le long d'un trottoir de Vice City.","Albany a toujours été la marque des grandes américaines cossues, et l'Emperor en est l'archétype : long capot, custode épaisse, suspension molle. La Cadillac Sedan de Ville de 1977 à 1980 dont il reprend l'allure était une voiture de patron vieillissante, devenue au fil des années la berline de seconde main par excellence, celle qu'on retrouve rouillée dans les quartiers populaires. Les captures diffusées par Rockstar la montrent garée le long d'un trottoir de Vice City.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
benefactor-schafter-v12,txt,"Benefactor est le Mercedes-Benz de l'univers, et la Schafter V12 sa berline de sport : discrète de loin, radicale de près. La E63 AMG qui lui sert de référence appartient à cette catégorie très allemande des familiales à moteur de supercar, capables d'emmener quatre personnes plus vite qu'une voiture de course. Rien ne l'atteste pour l'instant dans GTA VI.",La Schafter V12 est une berline de sport de Benefactor. Le rapprochement retenu ici est la Brabus E V12. Elle est recensée dans le premier trailer sous une identification communautaire ; son nom n'y est pas communiqué par Rockstar.,Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
bravado-banshee,txt,"La Banshee est une constante de la série depuis Vice City, ce qui rend son retour plausible sans pour autant le rendre certain. La Dodge Viper de cinquième génération dont elle reprend les proportions est une voiture brutale : un V10 de camion dans un châssis étroit, sans les artifices électroniques qui rendent les sportives modernes dociles. Elle n'est apparue dans aucun visuel diffusé.","La Banshee est une constante de la série depuis Vice City, avec une silhouette immédiatement associée à la Dodge Viper. La Dodge Viper de cinquième génération dont elle reprend les proportions est une voiture brutale : un V10 de camion dans un châssis étroit, sans les artifices électroniques qui rendent les sportives modernes dociles. La Banshee est recensée dans le second trailer, sans appellation communiquée par Rockstar.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
invetero-coquette,txt,"Invetero est le Chevrolet Corvette de l'univers, une marque qui n'existe que pour ce modèle. La Corvette C8 Stingray dont la Coquette reprend l'architecture marque une rupture historique : après soixante-cinq ans de moteur avant, Chevrolet a déplacé le V8 derrière le conducteur. Le second trailer la montre lancée, capot long dans l'axe de la route.","La Coquette d'Invetero est rapprochée de la Corvette C7, notamment de la Corvette Stingray de 2014. Cette inspiration distingue la fiche des autres générations de Coquette. Notre base la recense dans le second trailer, sans nom communiqué par Rockstar.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
karin-sultan,txt,"La Sultan est la berline sportive à transmission intégrale de la série, celle du rallye urbain. La Subaru Impreza WRX qui l'inspire a bâti sa réputation sur les spéciales du championnat du monde, avec son moteur à plat et sa tenue de route imperturbable sur revêtement dégradé. Rockstar n'a rien publié la concernant.","La Sultan est la berline sportive à transmission intégrale de la série, celle du rallye urbain. La Subaru Impreza WRX qui l'inspire a bâti sa réputation sur les spéciales du championnat du monde, avec son moteur à plat et sa tenue de route imperturbable sur revêtement dégradé. Son apparition est recensée dans le premier trailer ; le nom Sultan reste une identification de la communauté.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
annis-growler,txt,"Coupé japonais compact, la Growler se situe dans la famille des sportives accessibles d'Annis, aux côtés de la Futo. Le nom évoque le grondement d'un petit moteur poussé. Rockstar n'a rien publié la concernant pour Leonida : elle figure ici au titre des identifications communautaires.",La Growler est le coupé de Pfister rapproché de la Porsche 718 Cayman dans notre base. Elle est recensée dans le second trailer. Son identification reste communautaire : le support officiel ne lui attribue pas de nom.,Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
pegassi-zorrusso,txt,"La Zorrusso s'écarte du catalogue Lamborghini pour lorgner vers la Pagani Huayra, une voiture produite à une poignée d'exemplaires, où la carrosserie est autant une pièce d'orfèvrerie qu'un élément aérodynamique. Ses volets mobiles modifient l'appui en virage. Rockstar n'a rien publié la concernant pour Leonida.","La Zorrusso de Pegassi est associée ici à l'Italdesign Zerouno. Cette identification reste un rapprochement de la communauté. Le premier trailer est le support d'apparition consigné pour cette fiche, sans appellation officielle du véhicule.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
albany-virgo-classic,txt,"Coupé personnel de luxe des années 70 : roue de secours simulée sur le coffre, calandre verticale, toit vinyle. Dundreary est la marque Lincoln de l'univers.","Coupé personnel de luxe des années 70 : roue de secours simulée sur le coffre, calandre verticale, toit vinyle. La base associe cette Virgo Classic à Albany et la rapproche de la Lincoln Continental Mark III.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
declasse-impaler-sz,txt,"Declasse est le Chevrolet de la série, et l'Impaler sa grande berline populaire. La version SZ en est la déclinaison sportive, dans l'esprit des préparations de rue. Le nom joue sur l'Impala, modèle omniprésent dans la culture automobile américaine. Rien de tel n'a encore été diffusé par Rockstar.","Declasse est le Chevrolet de la série, et l'Impaler sa grande berline populaire. La version SZ en est la déclinaison sportive, dans l'esprit des préparations de rue. Le nom joue sur l'Impala, modèle omniprésent dans la culture automobile américaine. Cette Impaler SZ est rattachée aux captures officielles dans notre base ; son nom y reste une identification communautaire.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
vapid-dominator-gtx,txt,"Autre déclinaison de la Dominator, dans le registre des séries spéciales que Ford multiplie sur la Mustang : livrées commémoratives, moteurs retouchés, numérotation limitée. Elle n'est pour l'instant attestée par aucun visuel.","Autre déclinaison de la Dominator, dans le registre des séries spéciales que Ford multiplie sur la Mustang : livrées commémoratives, moteurs retouchés, numérotation limitée. La Dominator GTX est recensée dans le premier trailer sous un nom proposé par la communauté.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
